Artist_ID,Nama_Artis,Primary_Genre
ART-F140CE6D,Green Bay Wax,Indie / Alternative
ART-0200F916,Mr. Ho + Mogwaa,Indie / Alternative
ART-F21C79F9,Lifvsleda,Indie / Alternative
ART-D1B7E2F2,Ventre De Biche,Indie / Alternative
ART-C8F04AF0,Tsirihaka Harrivel & Vimala Pons,Indie / Alternative
ART-BD2AD355,Scented Poultice,Indie / Alternative
ART-70D28D17,No Age,Indie / Alternative
ART-918C05B4,Soul Supreme,Indie / Alternative
ART-CC068F73,YESKA Beatz Unltd,Indie / Alternative
ART-7AFDFB77,Gus & Iggy,Indie / Alternative
ART-CD50F873,unhappybirthday,Indie / Alternative
ART-B59DD127,Ninja Sex Party,Indie / Alternative
ART-23F4EB0F,Maral,Indie / Alternative
ART-E3A11D2E,MTR Project,Indie / Alternative
ART-9CCDA2D5,Equipment,Indie / Alternative
ART-2F4B6B69,Vj Silver,Indie / Alternative
ART-042954A0,Apis Malfiore,Indie / Alternative
ART-596D7DF6,Concrete Moon Andrea Pensado Fake Trade Remnants Glass Path Magnetic Coroner,Indie / Alternative
ART-24B1F774,Cindy,Indie / Alternative
ART-17D782C2,Fortune Cookie Club,Indie / Alternative
ART-D31E8A4A,Ingus Baušķenieks,Indie / Alternative
ART-ACA2C1C2,I Solar,Indie / Alternative
ART-6A1E61BD,ALEX & Megan McDuffee,Indie / Alternative
ART-1989C468,DJ ZVONIMIR,Indie / Alternative
ART-9C45B88C,The Boy Called Hedge,Indie / Alternative
ART-267A7D35,Bad Elephant Music,Indie / Alternative
ART-339B6FC9,Tapes,Indie / Alternative
ART-62686B52,M!R!M,Indie / Alternative
ART-9E221FCB,European Sun,Indie / Alternative
ART-BC915878,Griffin McElroy,Indie / Alternative
ART-4CF0BD04,Soft Kill,Indie / Alternative
ART-BBD8B925,Dublicator,Indie / Alternative
ART-7849DBE1,Vindsvept,Indie / Alternative
ART-C07DEF39,Ishmael Cormack,Indie / Alternative
ART-7E803A59,Mr. Ho,Indie / Alternative
ART-B1AF1016,Luca Lozano,Indie / Alternative
ART-924DFD96,Magic Sword & Droid Bishop,Indie / Alternative
ART-EA1C5B49,Droid Bishop,Indie / Alternative
ART-C17D5859,Bruce Brubaker & Max Cooper,Indie / Alternative
ART-8DC7582A,HEAVY PSYCH SOUNDS Records,Indie / Alternative
ART-F5CB6B70,Werkstatt Recordings,Indie / Alternative
ART-DBAB789A,Huntleys + Palmers,Indie / Alternative
ART-92F67BC3,Jill Scott,Indie / Alternative
ART-FA626332,K-Effect,Indie / Alternative
ART-4E948D1F,girls pissing on girls pissing,Indie / Alternative
ART-2141B7E6,Hauntologists,Indie / Alternative
ART-45C358D2,DORFMEISTER/MEGABLAST/OBERMAIER,Indie / Alternative
ART-A2B64BCA,Snuffed On Sight,Indie / Alternative
ART-CAE8C41A,Incident Prism,Indie / Alternative
ART-54D1952B,Trevor Hall,Indie / Alternative
ART-3B7E1E8F,Jean C. Roché,Indie / Alternative
ART-33837219,TEMPERS,Indie / Alternative
